bucket,order_demand,forecast_demand_with_fr,item_code,period
0,317,5,4624,20
0,611,0,4624,21
0,20,10,4624,22
0,43,0,4624,23
0,124,45,4624,24
0,6,0,4624,25
0,11,153,4624,26
0,464,3588,4624,27
0,358,9,4624,28
0,1470,564,4624,30
0,2000,0,4625,8
0,2000,0,4625,11
0,2000,0,4625,13
0,2000,0,4625,16
0,10,403,4626,1
0,22,0,4626,2
0,37,0,4626,3
0,460,5,4626,4
0,431,0,4626,7
0,47,0,4626,8
0,428,0,4626,9
0,28,0,4626,10
0,2190,0,4626,11
0,2,0,4626,12
0,2248,0,4626,13
0,85,0,4626,14
0,172,0,4626,15
0,2279,0,4626,16
0,8,0,4626,17
0,68,0,4626,19
0,217,0,4626,20
0,607,0,4626,21
0,20,0,4626,22
0,18,0,4626,23
0,34,0,4626,24
0,6,0,4626,25
0,11,0,4626,26
0,464,0,4626,27
0,358,0,4626,28
0,582,20,4626,30
0,19615,1911,4629,1
0,9287,89,4629,2
0,10595,0,4629,3
0,1692,290,4629,4
0,961,68,4629,5
0,4772,0,4629,6
0,5253,1,4629,7
0,10860,0,4629,8
0,16659,118,4629,9
0,14111,0,4629,10
0,15652,40,4629,11
0,3751,0,4629,12
0,24619,0,4629,13
0,6125,114,4629,14
0,7961,19720,4629,15
0,20689,2936,4629,16
0,17954,1388,4629,17
0,9135,2232,4629,18
0,3214,1198,4629,19
0,26427,112,4629,20
0,8500,189,4629,21
0,2250,16,4629,22
0,2119,24,4629,23
0,1391,31,4629,24
0,14795,243,4629,25
0,2655,572,4629,26
0,2473,70,4629,27
0,21431,5253,4629,28
0,2458,20,4629,29
0,25272,21207,4629,30
0,176,1090,4630,1
0,56,72,4630,2
0,534,0,4630,3
0,4,699,4630,4
0,4,19,4630,5
0,4,102,4630,6
0,47,3,4630,7
0,223,6,4630,8
0,397,32,4630,9
0,191,8,4630,10
0,3346,22,4630,11
0,72,1,4630,12
0,1423,0,4630,13
0,219,54,4630,14
0,66,10,4630,15
0,1582,0,4630,16
0,103,0,4630,17
0,1281,90,4630,18
0,62,0,4630,19
0,854,20,4630,20
0,524,0,4630,21
0,100,0,4630,22
0,59,0,4630,23
0,102,69,4630,24
0,129,0,4630,25
0,89,150,4630,26
0,48,0,4630,27
0,1145,2,4630,28
0,153,4,4630,29
0,518,10130,4630,30
0,2002,80,4631,2
0,2000,0,4631,8
0,114000,74,4631,10
0,340,0,4631,13
0,120200,0,4631,15
0,180000,0,4631,22
0,143,84,4631,30
0,1638,0,4632,1
0,152,5,4637,1
0,32,0,4637,3
0,11,15,4637,4
0,1,0,4637,7
0,3140,0,4637,8
0,2,0,4637,9
0,39,0,4637,10
0,7,0,4637,11
0,5,0,4637,13
0,41,0,4637,14
0,20,0,4637,15
0,8,0,4637,17
0,4,0,4637,21
0,203,0,4637,30
0,60,1162,4654,1
0,1000,595,4654,6
0,1000,0,4659,2
0,25000,0,4659,6
0,15000,0,4659,15
0,220000,0,4659,17
0,60000,200,4659,19
0,290,0,4669,2
0,290,0,4671,2
0,5600,0,4671,6
0,3200,0,4671,15
0,54800,0,4671,17
0,14800,0,4671,19
0,290,0,4675,2
0,6000,0,4675,22
0,290,0,4676,2
0,6000,0,4676,6
0,3600,0,4676,15
0,55200,0,4676,17
0,14400,0,4676,19
0,6,0,4686,13
11,20,0,5007,30
10,150,0,5010,15
11,522,0,5010,28
8,300,0,5011,12
7,1918,0,5019,22
6,500,0,5020,9
7,1088,0,5020,14
7,400,0,5021,20
